10 	 0 	 1 	 1 	 6 	 437 	 2358
15 	 1 	 0 	 4 	 7 	 1631 	 8214
20 	 5 	 0 	 7 	 7 	 800 	 14584
25 	 8 	 0 	 26 	 7 	 1625 	 43636
30 	 28 	 1 	 36 	 8 	 2505 	 54514
35 	 39 	 5 	 73 	 7 	 6659 	 97878
40 	 77 	 3 	 116 	 8 	 3914 	 138403
45 	 122 	 4 	 178 	 8 	 4825 	 195220
50 	 187 	 4 	 239 	 9 	 4778 	 230942
55 	 251 	 17 	 440 	 9 	 15692 	 398205
60 	 455 	 26 	 809 	 9 	 21754 	 674454
65 	 828 	 8 	 613 	 9 	 6387 	 477111
70 	 637 	 7 	 1170 	 9 	 5492 	 866253
75 	 1198 	 27 	 1442 	 9 	 19148 	 1004137
80 	 1477 	 11 	 1638 	 9 	 6459 	 1073360
85 	 1678 	 13 	 1949 	 9 	 8469 	 1234579
90 	 2002 	 22 	 2862 	 9 	 12491 	 1684467
95 	 2919 	 21 	 3128 	 9 	 12272 	 1787499
